#Name of Area,Total Population,Population Density (per sq. mile),Total Population:,Total Population: Male,Total Population: Female,Median Age:,Total Population,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More races,Total Population: Hispanic or Latino,Population 25 Years and over:,Population 25 Years and over: Less Than High School,Population 25 Years and over: High School Graduate (includes equivalency),Population 25 Years and over: Some college,Population 25 Years and over: Bachelor's degree,Population 25 Years and over: Master's degree,Population 25 Years and over: Professional school degree,Population 25 Years and over: Doctorate degree,Civilian Population In Labor Force 16 Years And Over:,Civilian Population In Labor Force 16 Years And Over: Employed,Civilian Population In Labor Force 16 Years And Over: Unemployed,Civilian Male In Labor Force 16 Years And Over:,Civilian Male In Labor Force 16 Years And Over: Employed,Civilian Male In Labor Force 16 Years And Over: Unemployed,Civilian Female In Labor Force 16 Years And Over:,Civilian Female In Labor Force 16 Years And Over: Employed,Civilian Female In Labor Force 16 Years And Over: Unemployed,Median household income (In 2012 Inflation Adjusted Dollars),Gini Index,Population Under 18 Years of Age for whom poverty status is determined:,Population Under 18 Years of Age for whom poverty status is determined: Living in Poverty,Population Under 18 Years of Age for whom poverty status is determined: At or Above Poverty Level,Population Age 18 to 64 for whom poverty status  is determined:,Population Age 18 to 64 for whom poverty status  is determined: Living in Poverty,Population Age 18 to 64 for whom poverty status  is determined: At or Above Poverty Level,Population Age 65 and Over for whom poverty  status is determined:,Population Age 65 and Over for whom poverty  status is determined: Living In Poverty,Population Age 65 and Over for whom poverty  status is determined: At or Above Poverty Level
State,TotalPop,PopDensity,SE_T004_001,SE_T004_002,SE_T004_003,MedianAge,SE_T014_001,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T025_001,SE_T025_002,SE_T025_003,SE_T025_004,SE_T025_005,SE_T025_006,SE_T025_007,SE_T025_008,SE_T037_001,SE_T037_002,SE_T037_003,SE_T038_001,SE_T038_002,SE_T038_003,SE_T039_001,SE_T039_002,SE_T039_003,MedianIncomeHH,Gini,SE_T114_001,SE_T114_002,SE_T114_003,SE_T115_001,SE_T115_002,SE_T115_003,SE_T116_001,SE_T116_002,SE_T116_003
Alabama,4777326,94.32906,4777326,2317520,2459806,37.8,4777326,3202443,1249402,23655,54487,1211,3547,60313,182268,3166424,551030,991406,918987,448117,182960,44662,29262,2248665,2017887,230778,1176862,1057453,119409,1071803,960434,111369,43160,0.4705,1117199,290406,826793,2901236,480563,2420673,643659,71323,572336
Alaska,711139,1.246211,711139,370127,341012,33.8,711139,454689,22704,96967,37455,7120,830,51003,40371,447543,37652,121272,165651,79441,30708,7497,5322,372484,341115,31369,200780,181297,19483,171704,159818,11886,69917,0.4132,183280,23894,159386,457072,40221,416851,54443,2516,51927
Arizona,6410979,56.43761,6410979,3187926,3223053,36,6410979,3701932,246474,257107,173231,11568,8063,109658,1902946,4149955,604136,1012503,1428213,702007,288414,68944,45738,3029669,2733537,296132,1622923,1455469,167454,1406746,1278068,128678,50256,0.4571,1598214,389556,1208658,3785885,612807,3173078,882925,72623,810302
Arkansas,2916372,56.04584,2916372,1431252,1485120,37.4,2916372,2172674,450555,16024,35405,5375,2560,48540,185239,1921039,320693,674742,545270,252579,89971,22997,14787,1370423,1253069,117354,719479,655211,64268,650944,597858,53086,40531,0.4618,697228,188764,508464,1729564,296314,1433250,406254,45231,361023
California,37325068,239.6024,37325068,18561020,18764048,35.2,37325068,14977510,2152554,147899,4854863,134423,86389,947321,14024109,24117317,4577493,4988559,7206710,4667570,1766387,558834,351764,18673806,16614362,2059444,10099625,8967227,1132398,8574181,7647135,927046,61400,0.4751,9139932,1944310,7195622,23230922,3246447,19984475,4204606,399343,3805263
Colorado,5042853,48.65651,5042853,2529614,2513239,36.1,5042853,3528458,190846,27990,134749,5441,7666,107225,1040478,3328869,335459,744320,1028184,780515,319729,72040,48622,2717391,2498972,218419,1459417,1335937,123480,1257974,1163035,94939,58244,0.4559,1204622,205865,998757,3179992,384053,2795939,542669,43960,498709
Connecticut,3572213,737.7016,3572213,1739522,1832691,40,3572213,2542435,333894,5030,137054,1320,12284,60011,480185,2431340,268454,677253,606544,494197,276483,70524,37885,1940413,1762707,177706,1002123,905140,96983,938290,857567,80723,69519,0.4846,802924,106124,696800,2173437,205702,1967735,486831,32790,454041
Delaware,900131,461.9507,900131,436338,463793,38.7,900131,588086,188442,2362,29029,192,1832,16958,73230,603331,74349,190866,166032,103120,48432,11087,9445,460810,422219,38591,233656,212656,21000,227154,209563,17591,60119,0.4373,202301,34234,168067,545623,57352,488271,127030,9069,117961
District of Columbia,605759,9922.599,605759,286427,319332,33.9,605759,209183,305141,1518,21273,312,1314,10759,56259,417432,52036,79574,72073,93963,69280,34107,16399,344830,308602,36228,167266,148834,18432,177564,159768,17796,64267,0.5315,102711,29656,73055,402661,66857,335804,66736,9093,57643
Florida,18885152,352.1723,18885152,9232292,9652860,40.8,18885152,10917268,2877254,40363,456391,10398,49148,286903,4247427,13127624,1860966,3915878,3915609,2207281,831739,259487,136664,9270826,8220927,1049899,4822702,4249713,572989,4448124,3971214,476910,47309,0.476,3940470,885588,3054882,11306423,1676530,9629893,3232380,325033,2907347
