State,Year,Violent,Property,,,,,
Connecticut,2009,300.9,2348.4,,,,,
Connecticut,2010,281.4,2193.2,,,,,
Maine,2009,119.9,2405.1,,,,,
Maine,2010,122,2479.3,,,,,
Massachussetts,2009,462.6,2323.1,,,,,
Massachussetts,2010,466.6,2350.5,,,,,
New Hampshire,2009,160.4,2173.5,,,,,
New Hampshire,2010,167,2186.3,,,,,
Rhode Island,2009,254.3,2616.6,,,,,
Rhode Island,2010,256.6,2556.6,,,,,
Vermont,2009,134.6,2414.1,,,,,
Vermont,2010,130.2,2282.3,,,,,
New Jersey,2009,311.4,2075.8,,,,,
New Jersey,2010,307.7,2081.9,,,,,
New York,2009,384.4,1932,,,,,
New York,2010,392.1,1941.2,,,,,
Pennsylvania,2009,382.3,2199,,,,,
Pennsylvania,2010,366.2,2173,,,,,
Illinois,2009,497.2,2736.9,,,,,
Illinois,2010,435.2,2681,,,,,
Indiana,2009,334,3112.3,,,,,
Indiana,2010,314.5,3042.4,,,,,
Michigan,2009,499.8,2848.8,,,,,
Michigan,2010,490.3,2713.6,,,,,
Ohio,2009,331.9,3261.3,,,,,
Ohio,2010,315.2,3245.2,,,,,
Wisconsin,2009,259.1,2611.8,,,,,
Wisconsin,2010,248.7,2507.7,,,,,
Iowa,2009,282.1,2329.9,,,,,
Iowa,2010,273.5,2242.5,,,,,
Kansas,2009,406.6,3225.9,,,,,
Kansas,2010,369.1,3119.9,,,,,
Minnesota,2009,244.5,2644.9,,,,,
Minnesota,2010,236,2572.3,,,,,
Missouri,2009,492.9,3370,,,,,
Missouri,2010,455,3346.4,,,,,
Nebraska,2009,289.4,2768,,,,,
Nebraska,2010,279.5,2673.2,,,,,
North Dakota,2009,266.4,1980.8,,,,,
North Dakota,2010,225,1768.5,,,,,
South Dakota,2009,218.7,1769.9,,,,,
South Dakota,2010,268.5,1852.4,,,,,
Delaware,2009,645.4,3353.8,,,,,
Delaware,2010,620.9,3448.2,,,,,
DC,2009,1348.9,4751.9,,,,,
DC,2010,1330.2,4778.9,,,,,
Georgia,2009,428,3672.6,,,,,
Georgia,2010,403.3,3640.5,,,,,
Maryland,2009,590,3198.5,,,,,
Maryland,2010,547.7,2997.3,,,,,
North Carolina,2009,404.5,3663.9,,,,,
North Carolina,2010,363.4,3447.3,,,,,
South Carolina,2009,675.2,3909.2,,,,,
South Carolina,2010,597.7,3900.4,,,,,
Virginia,2009,230.8,2461.4,,,,,
Virginia,2010,213.6,2327.2,,,,,
West Virginia,2009,305.2,2539.6,,,,,
West Virginia,2010,314.6,2239.6,,,,,
Alabama,2009,450.1,3780.4,,,,,
Alabama,2010,377.8,3516.8,,,,,
Kentucky,2009,255,2524.6,,,,,
Kentucky,2010,242.6,2551.3,,,,,
Mississippi,2009,286.3,2958.2,,,,,
Mississippi,2010,269.7,2985,,,,,
Tennessee,2009,666,3766.6,,,,,
Tennessee,2010,613.3,3657.9,,,,,
Arkansas,2009,515.8,3775,,,,,
Arkansas,2010,505.3,3558.9,,,,,
Louisiana,2009,642.9,3842.7,,,,,
Louisiana,2010,549,3647.5,,,,,
Oklahoma,2009,503.4,3589.6,,,,,
Oklahoma,2010,479.5,3415.5,,,,,
Texas,2009,491,4015.3,,,,,
Texas,2010,450.3,3783,,,,,
Arizona,2009,426.5,3589,,,,,
Arizona,2010,408.1,3534,,,,,
Colorado,2009,338.8,2670.7,,,,,
Colorado,2010,320.8,2684.2,,,,,
Idaho,2009,246.2,2019.7,,,,,
Idaho,2010,221,1995.8,,,,,
Montana,2009,287,2546.3,,,,,
Montana,2010,272.2,2543.8,,,,,
Nevada,2009,705.2,3063.7,,,,,
Nevada,2010,660.6,2774.7,,,,,
New Mexico,2009,632.4,3714,,,,,
New Mexico,2010,588.9,3435.4,,,,,
Utah,2009,215.4,3295,,,,,
Utah,2010,212.7,3179.6,,,,,
Wyoming,2009,219.7,2616.9,,,,,
Wyoming,2010,195.9,2461.6,,,,,
Alaska,2009,633.4,2940.4,,,,,
Alaska,2010,638.8,2852.5,,,,,
California,2009,473.3,2731,,,,,
California,2010,440.6,2635.8,,,,,
Hawaii,2009,274.1,3668.7,,,,,
Hawaii,2010,262.7,3314.2,,,,,
Oregon,2009,260.6,3000.3,,,,,
Oregon,2010,252,3012.9,,,,,
Washington,2009,336.3,3679.6,,,,,
Washington,2010,313.8,3706.6,,,,,
