Country,Corporatism,Etatism,Meanstest,PrivatePens,PrivateHealth,AverageUniv,BenefitEqual
Australia,1,0.7,3.3,30,36,33,1
Austria,7,3.8,2.8,3,36,72,0.52
Belgium,5,3,4.5,8,13,67,0.79
Canada,2,0.2,15.6,38,26,93,0.48
Denmark,2,1.1,1,17,15,87,0.99
Finland,4,2.5,1.9,3,21,88,0.72
France,10,3.1,11.2,8,28,70,0.55
Germany,6,2.2,4.9,11,20,72,0.56
Ireland,1,2.2,5.9,10,6,60,0.77
Italy,12,2.2,9.3,2,12,59,0.52
Japan,7,0.9,7,23,28,63,0.32
Netherlands,3,1.8,6.9,13,22,87,0.57
NewZealand,1,0.8,2.3,4,18,33,1
Norway,4,0.9,2.1,8,1,95,0.69
Sweden,2,1,1.1,6,7,90,0.82
Switzerland,2,1,8.8,20,35,96,0.48
UnitedKingdom,2,2,6.9,12,10,76,0.64
USA,2,1.5,18.2,21,57,54,0.22
