State,HHIncome,Bush
Alabama,36.3,56.5
Alaska,52.5,58.6
Arizona,39.7,51
Arkansas,30.1,51.3
California,45.1,41.7
Colorado,49.2,50.8
Connecticut,50.6,38.4
Delaware,47.4,41.9
Florida,37.3,48.9
Georgia,41.5,54.7
Hawaii,45.7,37.5
Idaho,37.8,67.2
Illinois,46.6,42.6
Indiana,41.3,56.7
Iowa,41.6,48.2
Kansas,38.4,58
Kentucky,36.8,56.5
Louisiana,32.5,52.6
Maine,39.8,44
Maryland,52.8,40.2
Massachusets,45.8,32.5
Michigan,46,46.2
Minnesota,50.1,45.5
Mississippi,31.9,57.6
Missouri,44.2,50.4
Montana,32.6,58.4
Nebraska,39,62.3
Nevada,43.3,49.5
NewHampshire,48,48.1
NewJersey,51.7,40.3
NewMexico,34,47.9
NewYork,40.8,35.2
NorthCarolina,38.4,56
NorthDakota,33.8,60.7
Ohio,42,50
Oklahoma,34,60.3
Oregon,41.9,46.5
Pennsylvania,41.4,46.4
RhodeIsland,43.4,31.9
SouthCarolina,36.7,56.8
SouthDakota,36,60.3
Tennessee,35.9,51.2
Texas,39.3,59.3
Utah,46.5,66.8
Vermont,40.9,40.7
Virginia,47.7,52.5
Washington,46.4,44.6
WestVirginia,29.2,51.9
Wisconsin,45.4,47.6
Wyoming,38.3,67.8
