inc,lifeexp
184,63.02
480,63.7
1657,67.79
982,66.82
1427,67.74
851,67.82
40,35
74,44.2
1913,68.89
128,63.04
55,29
434,59.24
239,58.23
1385,67.64
1794,70.66
217,63.61
179,57.03
194,56.56
1400,65.98
1483,67.8
1395,67.31
1420,67.59
597,70.65
260,48.29
468,65.9
985,65.18
67,48.9
85,44.13
711,68.69
873,68.44
774,68.35
134,51.12
90,37.58
421,59.49
1359,71.2
1573,68.21
1557,71.36
82,53.72
202,60.53
154,55.4
960,64.8
386,63.97
695,67.14
650,69.24
2144,71.87
1987,69.73
188,65.19
95,53.6
146,55.66
1022,66
124,51.6
1455,68.72
2995,66.7
44,32.1
533,61.37
712,63.9
672,62.18
