"SCH_YEAR_TO_GRADE_1997","PUBID","YSCH-5000","KEY!SEX","KEY!BDATE_M","KEY!BDATE_Y","KEY!RACE","CV_AGE(MONTHS)_INT_DATE","CV_AGE_INT_DATE","CV_INCOME_GROSS_YR","CV_YTH_REL_HH_CURRENT","CV_INTERVIEW_CMONTH","CV_SAMPLE_TYPE","KEY!RACE_ETHNICITY","CV_AGE(MONTHS)_INT_DATE","CV_AGE_INT_DATE","CV_INCOME_GROSS_YR","CV_YTH_REL_HH_CURRENT","CV_INTERVIEW_CMONTH","CV_AGE(MONTHS)_INT_DATE","CV_AGE_INT_DATE","CV_INCOME_GROSS_YR","CV_YTH_REL_HH_CURRENT","CV_INTERVIEW_CMONTH","CV_INCOME_GROSS_YR","CV_YTH_REL_HH_CURRENT","CV_INTERVIEW_CMONTH","CV_INCOME_GROSS_YR","CV_YTH_REL_HH_CURRENT","CV_INTERVIEW_CMONTH","CV_INCOME_GROSS_YR","CV_YTH_REL_HH_CURRENT","CV_INTERVIEW_CMONTH","VERSION_R16","CVC_HGC_EVER","CVC_HIGHEST_DEGREE_EVER","CVC_HS_LEFT_DATE","CVC_HS_LEFT_HGC","CVC_HS_LEFT_HGA"
11,1,10,2,9,1981,1,190,15,-3,1,211,1,4,206,17,-4,1,227,219,18,147500,1,240,128000,1,252,177000,1,264,128000,1,277,429,16,4,234,12,12
10,2,8,1,7,1982,5,178,14,-4,2,209,1,2,196,16,-4,2,227,209,17,-4,2,240,84000,2,252,-3,2,263,-3,2,276,429,14,2,246,12,12
9,3,7,2,9,1983,5,163,13,63000,4,208,1,2,182,15,-4,4,227,197,16,-4,4,242,-4,4,255,-4,4,267,99000,4,277,429,14,3,258,12,12
11,4,9,2,2,1981,5,192,15,11700,4,206,1,2,213,17,-4,4,227,228,18,11000,4,242,-3,1,252,21000,4,265,55000,10,276,429,13,2,234,12,12
10,5,9,1,10,1982,1,186,15,-3,1,220,1,2,194,16,-4,1,228,205,17,-4,1,239,59500,1,252,-3,1,268,70500,1,277,429,12,2,246,12,12
10,6,9,2,1,1982,5,188,15,-3,4,213,1,2,202,16,-4,4,227,215,17,-4,4,240,6300,4,254,-3,2,267,0,2,276,429,14,2,246,12,12
8,7,7,1,4,1983,5,173,14,-3,4,213,1,2,187,15,-4,4,227,200,16,-4,4,240,-4,4,254,-3,4,264,-3,4,277,-5,11,1,254,11,11
11,8,10,2,6,1981,1,202,16,-3,1,220,1,4,210,17,-4,1,228,221,18,56000,1,239,63000,1,252,64000,1,264,86000,4,276,-5,18,5,234,12,12
10,9,9,1,10,1982,1,186,15,-3,1,220,1,4,194,16,-4,1,228,205,17,-4,1,239,93500,1,252,75000,4,266,0,4,278,429,18,5,246,12,12
8,10,7,1,3,1984,1,169,14,-3,1,220,1,4,177,14,-4,1,228,188,15,-4,1,239,-4,1,252,-4,1,263,5000,4,277,-5,16,4,269,12,12
10,11,9,2,6,1982,5,181,15,25000,4,211,1,2,197,16,44000,4,227,210,17,55900,1,240,0,10,252,3000,10,265,34250,10,277,429,16,2,241,12,12
10,12,10,1,10,1981,5,189,15,0,2,211,1,2,209,17,-4,8,231,218,18,75000,10,240,63000,10,253,-3,10,266,94700,10,276,429,13,1,246,11,12
8,13,7,1,11,1984,5,154,12,-4,4,213,1,2,168,13,0,4,227,181,15,-4,4,240,-4,4,252,-3,4,263,-4,4,277,429,10,1,281,10,11
10,14,10,1,7,1980,5,205,17,0,1,212,1,2,222,18,-4,1,229,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,11,1,234,11,11
8,15,7,2,1,1983,5,183,15,-4,1,220,1,2,191,15,-4,1,228,205,17,-4,1,242,-4,1,255,-4,1,265,-3,10,278,-5,14,2,269,12,12
9,16,8,1,2,1982,5,182,15,13000,4,208,1,2,201,16,-4,4,227,213,17,-4,4,239,-4,4,251,3300,4,267,-3,4,277,429,16,3,258,12,12
9,17,8,2,11,1981,5,184,15,3750,2,207,1,2,204,17,12962,9,227,220,18,17500,3,243,-3,3,257,-5,-5,-5,-5,-5,-5,-5,10,1,238,10,11
8,18,7,1,2,1982,2,181,15,0,4,207,1,1,201,16,-4,4,227,214,17,8100,4,240,47502,4,255,-5,-5,-5,-3,5,276,429,13,1,229,9,10
7,19,6,1,4,1984,2,155,12,0,4,207,1,1,175,14,-4,4,227,188,15,-4,4,240,-4,4,252,-3,10,269,29500,10,275,-5,-3,-3,281,-3,12
8,20,8,1,12,1980,2,196,16,-3,4,208,1,1,215,17,1000,4,227,230,19,-2,4,242,2000,4,254,-5,-5,-5,-3,4,276,-5,8,1,215,8,9
8,21,7,1,8,1982,5,175,14,0,4,207,1,2,195,16,-4,4,227,207,17,42620,4,239,35000,4,252,-3,4,265,56000,4,278,429,8,1,232,8,9
-4,22,8,1,6,1982,5,177,14,-3,4,207,1,2,197,16,-4,4,227,209,17,-4,4,239,-4,4,251,0,4,263,-3,4,278,429,13,2,270,-3,11
8,23,7,2,1,1983,5,173,14,-3,4,210,1,2,190,15,-2,4,227,202,16,15500,4,239,-4,4,251,-4,4,264,-3,10,277,429,15,3,270,12,12
6,24,5,1,6,1984,5,152,12,-3,2,206,1,2,173,14,-4,2,227,188,15,-4,4,242,-4,4,253,-4,4,264,0,10,277,429,8,0,264,8,9
7,25,6,2,3,1983,5,167,13,0,1,206,1,2,188,15,-4,1,227,201,16,-4,1,240,38000,1,253,46500,1,265,46000,1,275,429,8,1,244,8,9
10,26,9,1,10,1980,2,199,16,-3,4,209,1,1,222,18,-4,3,232,231,19,-2,-3,241,-3,4,256,-3,4,264,-3,4,279,429,11,0,251,11,12
9,27,8,1,5,1981,2,189,15,-3,4,206,1,1,-5,-5,-5,-5,-5,226,18,-2,4,243,5000,4,254,4000,4,264,-3,4,276,429,-3,0,219,-3,11
9,28,8,2,11,1983,2,159,13,13000,2,206,1,1,182,15,-4,2,229,193,16,-4,2,240,-4,2,252,-3,2,264,-3,2,276,429,17,4,258,12,12
