pclass,survived,sex,age,sibsp,parch,fare
1,1,female,29,0,0,211.3375
1,1,male,0.9167,1,2,151.5500
1,0,female,2,1,2,151.5500
1,0,male,30,1,2,151.5500
1,0,female,25,1,2,151.5500
1,1,male,48,0,0,26.5500
1,1,female,63,1,0,77.9583
1,0,male,39,0,0,0.0000
1,1,female,53,2,0,51.4792
1,0,male,71,0,0,49.5042
1,0,male,47,1,0,227.5250
1,1,female,18,1,0,227.5250
1,1,female,24,0,0,69.3000
1,1,female,26,0,0,78.8500
1,1,male,80,0,0,30.0000
1,0,male,,0,0,25.9250
1,0,male,24,0,1,247.5208
1,1,female,50,0,1,247.5208
1,1,female,32,0,0,76.2917
1,0,male,36,0,0,75.2417
1,1,male,37,1,1,52.5542
1,1,female,47,1,1,52.5542
1,1,male,26,0,0,30.0000
1,1,female,42,0,0,227.5250
1,1,female,29,0,0,221.7792
1,0,male,25,0,0,26.0000
1,1,male,25,1,0,91.0792
1,1,female,19,1,0,91.0792
1,1,female,35,0,0,135.6333
1,1,male,28,0,0,26.5500
1,0,male,45,0,0,35.5000
1,1,male,40,0,0,31.0000
1,1,female,30,0,0,164.8667
1,1,female,58,0,0,26.5500
1,0,male,42,0,0,26.5500
1,1,female,45,0,0,262.3750
1,1,female,22,0,1,55.0000
1,1,male,,0,0,26.5500
1,0,male,41,0,0,30.5000
1,0,male,48,0,0,50.4958
1,0,male,,0,0,39.6000
1,1,female,44,0,0,27.7208
1,1,female,59,2,0,51.4792
1,1,female,60,0,0,76.2917
1,1,female,41,0,0,134.5000
1,0,male,45,0,0,26.5500
1,0,male,,0,0,31.0000
1,1,male,42,0,0,26.2875
1,1,female,53,0,0,27.4458
1,1,male,36,0,1,512.3292
1,1,female,58,0,1,512.3292
1,0,male,33,0,0,5.0000
1,0,male,28,0,0,47.1000
1,0,male,17,0,0,47.1000
1,1,male,11,1,2,120.0000
1,1,female,14,1,2,120.0000
1,1,male,36,1,2,120.0000
1,1,female,36,1,2,120.0000
1,0,male,49,0,0,26.0000
1,1,female,,0,0,27.7208
1,0,male,36,1,0,78.8500
1,1,female,76,1,0,78.8500
1,0,male,46,1,0,61.1750
1,1,female,47,1,0,61.1750
1,1,male,27,1,0,53.1000
1,1,female,33,1,0,53.1000
1,1,female,36,0,0,262.3750
1,1,female,30,0,0,86.5000
1,1,male,45,0,0,29.7000
1,1,female,,0,1,55.0000
1,0,male,,0,0,0.0000
1,0,male,27,1,0,136.7792
1,1,female,26,1,0,136.7792
1,1,female,22,0,0,151.5500
1,0,male,,0,0,52.0000
1,0,male,47,0,0,25.5875
1,1,female,39,1,1,83.1583
1,0,male,37,1,1,83.1583
1,1,female,64,0,2,83.1583
1,1,female,55,2,0,25.7000
1,0,male,,0,0,26.5500
1,0,male,70,1,1,71.0000
1,1,female,36,0,2,71.0000
1,1,female,64,1,1,26.5500
1,0,male,39,1,0,71.2833
1,1,female,38,1,0,71.2833
1,1,male,51,0,0,26.5500
1,1,male,27,0,0,30.5000
1,1,female,33,0,0,151.5500
1,0,male,31,1,0,52.0000
1,1,female,27,1,2,52.0000
1,1,male,31,1,0,57.0000
1,1,female,17,1,0,57.0000
1,1,male,53,1,1,81.8583
1,1,male,4,0,2,81.8583
1,1,female,54,1,1,81.8583
1,0,male,50,1,0,106.4250
1,1,female,27,1,1,247.5208
1,1,female,48,1,0,106.4250
1,1,female,48,1,0,39.6000
1,1,male,49,1,0,56.9292
1,0,male,39,0,0,29.7000
1,1,female,23,0,1,83.1583
1,1,female,38,0,0,227.5250
1,1,female,54,1,0,78.2667
1,0,female,36,0,0,31.6792
1,0,male,,0,0,221.7792
1,1,female,,0,0,31.6833
1,1,female,,0,0,110.8833
1,1,male,36,0,0,26.3875
1,0,male,30,0,0,27.7500
1,1,female,24,3,2,263.0000
1,1,female,28,3,2,263.0000
1,1,female,23,3,2,263.0000
1,0,male,19,3,2,263.0000
1,0,male,64,1,4,263.0000
1,1,female,60,1,4,263.0000
1,1,female,30,0,0,56.9292
1,0,male,,0,0,26.5500
1,1,male,50,2,0,133.6500
1,1,male,43,1,0,27.7208
1,1,female,,1,0,133.6500
1,1,female,22,0,2,49.5000
1,1,male,60,1,1,79.2000
1,1,female,48,1,1,79.2000
1,0,male,,0,0,0.0000
1,0,male,37,1,0,53.1000
1,1,female,35,1,0,53.1000
1,0,male,47,0,0,38.5000
1,1,female,35,0,0,211.5000
1,1,female,22,0,1,59.4000
1,1,female,45,0,1,59.4000
1,0,male,24,0,0,79.2000
1,1,male,49,1,0,89.1042
1,1,female,,1,0,89.1042
1,0,male,71,0,0,34.6542
1,1,male,53,0,0,28.5000
1,1,female,19,0,0,30.0000
1,0,male,38,0,1,153.4625
1,1,female,58,0,1,153.4625
1,1,male,23,0,1,63.3583
1,1,female,45,0,1,63.3583
1,0,male,46,0,0,79.2000
1,1,male,25,1,0,55.4417
1,1,female,25,1,0,55.4417
1,1,male,48,1,0,76.7292
1,1,female,49,1,0,76.7292
1,0,male,,0,0,42.4000
1,0,male,45,1,0,83.4750
1,1,female,35,1,0,83.4750
1,0,male,40,0,0,0.0000
1,1,male,27,0,0,76.7292
1,1,male,,0,0,30.0000
1,1,female,24,0,0,83.1583
1,0,male,55,1,1,93.5000
1,1,female,52,1,1,93.5000
1,0,male,42,0,0,42.5000
1,0,male,,0,0,51.8625
1,0,male,55,0,0,50.0000
1,1,female,16,0,1,57.9792
1,1,female,44,0,1,57.9792
1,1,female,51,1,0,77.9583
1,0,male,42,1,0,52.0000
1,1,female,35,1,0,52.0000
1,1,male,35,0,0,26.5500
1,1,male,38,1,0,90.0000
1,0,male,,0,0,30.6958
1,1,female,35,1,0,90.0000
1,1,female,38,0,0,80.0000
1,0,female,50,0,0,28.7125
1,1,male,49,0,0,0.0000
1,0,male,46,0,0,26.0000
1,0,male,50,0,0,26.0000
1,0,male,32.5,0,0,211.5000
1,0,male,58,0,0,29.7000
1,0,male,41,1,0,51.8625
1,1,female,,1,0,51.8625
1,1,male,42,1,0,52.5542
1,1,female,45,1,0,52.5542
1,0,male,,0,0,26.5500
1,1,female,39,0,0,211.3375
1,1,female,49,0,0,25.9292
1,1,female,30,0,0,106.4250
1,1,male,35,0,0,512.3292
1,0,male,,0,0,27.7208
1,0,male,42,0,0,26.5500
1,1,female,55,0,0,27.7208
1,1,female,16,0,1,39.4000
1,1,female,51,0,1,39.4000
1,0,male,29,0,0,30.0000
1,1,female,21,0,0,77.9583
1,0,male,30,0,0,45.5000
1,1,female,58,0,0,146.5208
1,1,female,15,0,1,211.3375
1,0,male,30,0,0,26.0000
1,1,female,16,0,0,86.5000
1,1,male,,0,0,29.7000
1,0,male,19,1,0,53.1000
1,1,female,18,1,0,53.1000
1,1,female,24,0,0,49.5042
1,0,male,46,0,0,75.2417
