Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A02002_001,SE_A02002_002,SE_A02002_003,SE_A02002_004,SE_A02002_005,SE_A02002_006,SE_A02002_007,SE_A02002_008,SE_A02002_009,SE_A02002_010,SE_A02002_011,SE_A02002_012,SE_A02002_013,SE_A02002_014,SE_A02002_015,SE_A02002_016,SE_A02002_017,SE_A02002_018,SE_A02002_019,SE_A02002_020,SE_A02002_021,SE_A02002_022,SE_A02002_023,SE_A02002_024,SE_A02002_025,SE_A02002_026,SE_A02002_027
"0110700","32000US0110700","Albertville","Albertville, AL Micro Area; Alabama","al","320","00","ACSSF","0007806",,,,,"01",,,,,,,,,,,,,,"10700",,,,,,,,,,,,,,,,,,,,,,,,,,,,95643,47230,3347,3152,3743,2078,4132,5987,5622,6227,5961,4298,2140,543,48413,3268,3056,3299,1944,3669,5715,5889,6166,6295,5128,2983,1001
"0110760","32000US0110760","Alexander City","Alexander City, AL Micro Area; Alabama","al","320","00","ACSSF","0007807",,,,,"01",,,,,,,,,,,,,,"10760",,,,,,,,,,,,,,,,,,,,,,,,,,,,51298,25035,1368,1623,1321,951,2317,2529,2579,3353,3986,3046,1543,419,26263,1253,1515,1378,861,1785,2874,2917,3560,4193,3438,1895,594
"0111500","32000US0111500","Anniston-Oxford","Anniston-Oxford, AL Metro Area; Alabama","al","320","00","ACSSF","0007808",,,,,"01",,,,,,,,,,,,,,"11500",,,,,,,,,,,,,,,,,,,,,,,,,,,,114618,55141,3254,3456,3622,2468,5350,7389,6552,7102,7576,5367,2367,638,59477,3354,3163,3527,2108,5208,7740,7142,7492,8377,6360,3584,1422
"0112120","32000US0112120","Atmore","Atmore, AL Micro Area; Alabama","al","320","00","ACSSF","0007809",,,,,"01",,,,,,,,,,,,,,"12120",,,,,,,,,,,,,,,,,,,,,,,,,,,,37057,18856,1083,1203,1176,692,1522,2813,2561,2513,2462,1688,934,209,18201,1020,980,1401,733,1388,2192,2135,2148,2469,2077,1182,476
"0112220","32000US0112220","Auburn-Opelika","Auburn-Opelika, AL Metro Area; Alabama","al","320","00","ACSSF","0007810",,,,,"01",,,,,,,,,,,,,,"12220",,,,,,,,,,,,,,,,,,,,,,,,,,,,161152,79453,4881,4886,4980,2973,15201,11520,9373,9136,8084,5476,2264,679,81699,4646,4563,4766,2693,14508,11535,10092,9696,8923,6194,2958,1125
"0113820","32000US0113820","Birmingham-Hoover","Birmingham-Hoover, AL Metro Area; Alabama","al","320","00","ACSSF","0007811",,,,,"01",,,,,,,,,,,,,,"13820",,,,,,,,,,,,,,,,,,,,,,,,,,,,1085330,521496,34020,35330,36232,22069,45886,72533,68248,68013,67037,45816,19948,6364,563834,33618,34098,34317,20814,46347,76589,72517,73146,75736,54553,29694,12405
"0117980","32000US0117980","Columbus","Columbus, GA-AL Metro Area (part); Alabama","al","320","00","ACSSF","0007812",,,,,"01",,,,,,,,,,,,,,"17980",,,,,,,,,,,,,,,,,,,,,,,,,,,,57952,27861,2072,2201,1756,1095,2431,4253,3609,3603,3524,2139,876,302,30091,2086,2160,1701,1098,2432,4392,3809,3884,3817,2713,1579,420
"0118980","32000US0118980","Cullman","Cullman, AL Micro Area; Alabama","al","320","00","ACSSF","0007813",,,,,"01",,,,,,,,,,,,,,"18980",,,,,,,,,,,,,,,,,,,,,,,,,,,,82853,40759,2478,2263,2990,1663,3228,5290,5131,5489,5487,4201,2110,429,42094,2637,2394,2683,1597,3194,5038,5010,5471,5694,4760,2839,777
"0119300","32000US0119300","Daphne-Fairhope-Foley","Daphne-Fairhope-Foley, AL Metro Area; Alabama","al","320","00","ACSSF","0007814",,,,,"01",,,,,,,,,,,,,,"19300",,,,,,,,,,,,,,,,,,,,,,,,,,,,212830,103496,5948,5583,7713,4304,7784,11850,12569,13754,14256,12198,5928,1609,109334,5741,6475,6549,3922,7699,12092,13265,14658,16137,13541,6816,2439
"0119460","32000US0119460","Decatur","Decatur, AL Metro Area; Alabama","al","320","00","ACSSF","0007815",,,,,"01",,,,,,,,,,,,,,"19460",,,,,,,,,,,,,,,,,,,,,,,,,,,,152271,74667,4534,5383,4600,3087,6063,9438,9339,10531,10219,7082,3416,975,77604,4426,4698,4781,3041,5866,9143,9255,10829,10628,8462,4693,1782
"0120020","32000US0120020","Dothan","Dothan, AL Metro Area; Alabama","al","320","00","ACSSF","0007816",,,,,"01",,,,,,,,,,,,,,"20020",,,,,,,,,,,,,,,,,,,,,,,,,,,,148252,71344,4514,4482,5336,3101,5795,8806,8641,9416,9510,7303,3452,988,76908,4216,4571,4608,2939,5663,9402,9458,10081,10601,8505,4916,1948
"0121460","32000US0121460","Enterprise","Enterprise, AL Micro Area; Alabama","al","320","00","ACSSF","0007817",,,,,"01",,,,,,,,,,,,,,"21460",,,,,,,,,,,,,,,,,,,,,,,,,,,,51662,25479,1674,1522,2016,1099,2130,3388,3355,3386,3153,2374,1017,365,26183,1533,1784,1618,1013,1980,3221,3324,3514,3402,2602,1666,526
"0121640","32000US0121640","Eufaula","Eufaula, AL-GA Micro Area (part); Alabama","al","320","00","ACSSF","0007818",,,,,"01",,,,,,,,,,,,,,"21640",,,,,,,,,,,,,,,,,,,,,,,,,,,,25361,13421,696,725,770,470,1198,2233,1837,1830,1635,1299,635,93,11940,653,897,652,444,892,1409,1201,1480,1629,1545,826,312
"0122520","32000US0122520","Florence-Muscle Shoals","Florence-Muscle Shoals, AL Metro Area; Alabama","al","320","00","ACSSF","0007819",,,,,"01",,,,,,,,,,,,,,"22520",,,,,,,,,,,,,,,,,,,,,,,,,,,,147327,70852,4224,4178,4352,2687,7247,9037,8066,9082,9548,7512,3673,1246,76475,3700,4129,3942,2650,7653,8646,8693,9865,10756,9001,5307,2133
"0122840","32000US0122840","Fort Payne","Fort Payne, AL Micro Area; Alabama","al","320","00","ACSSF","0007820",,,,,"01",,,,,,,,,,,,,,"22840",,,,,,,,,,,,,,,,,,,,,,,,,,,,71310,35318,2242,2342,2804,1660,3021,4243,4374,4791,4583,3401,1658,199,35992,2018,2390,2530,1524,2789,4241,4542,4570,4763,3770,2045,810
"0123460","32000US0123460","Gadsden","Gadsden, AL Metro Area; Alabama","al","320","00","ACSSF","0007821",,,,,"01",,,,,,,,,,,,,,"23460",,,,,,,,,,,,,,,,,,,,,,,,,,,,102748,49564,3051,3355,2844,2057,4318,6015,6131,6806,6730,5235,2486,536,53184,2865,2748,3281,1968,4229,6233,6538,7026,7296,6156,3436,1408
"0126620","32000US0126620","Huntsville","Huntsville, AL Metro Area; Alabama","al","320","00","ACSSF","0007822",,,,,"01",,,,,,,,,,,,,,"26620",,,,,,,,,,,,,,,,,,,,,,,,,,,,457003,224226,13419,14285,14461,9199,21361,31930,28050,31445,30418,18233,8749,2676,232777,13048,13194,14680,8984,20670,31074,28741,33055,31510,21241,11939,4641
