"PUBID","KEY!SEX","KEY!BDATE_M","KEY!BDATE_Y","KEY!ETHNICITY","KEY!RACE","CV_INCOME_GROSS_YR","CV_HH_NET_WORTH_P","CV_YTH_REL_HH_CURRENT","CV_SAMPLE_TYPE","CV_HGC_BIO_DAD","CV_HGC_BIO_MOM","CV_HGC_RES_DAD","CV_HGC_RES_MOM","KEY!RACE_ETHNICITY","CVC_HGC_EVER","CVC_HIGHEST_DEGREE_EVER","CVC_HS_DIPLOMA","CVC_BA_DEGREE","CVC_RND"
1,2,9,1981,0,1,-3,-3,1,1,16,8,16,8,4,16,4,234,281,17
2,1,7,1982,1,5,-4,-4,2,1,17,15,14,15,2,14,2,246,-4,17
3,2,9,1983,1,5,63000,10200,4,1,-3,12,-4,12,2,14,3,258,-4,16
4,2,2,1981,1,5,11700,-1500,4,1,12,12,-4,12,2,13,2,234,-4,17
5,1,10,1982,1,1,-3,-3,1,1,12,12,12,12,2,12,2,246,-4,17
6,2,1,1982,1,5,-3,7500,4,1,-3,12,-4,12,2,14,2,246,-4,17
7,1,4,1983,1,5,-3,7500,4,1,-3,12,-4,12,2,11,1,-4,-4,17
8,2,6,1981,0,1,-3,-3,1,1,6,12,6,12,4,18,5,234,282,17
9,1,10,1982,0,1,-3,-3,1,1,6,12,6,12,4,18,5,246,305,17
10,1,3,1984,0,1,-3,-3,1,1,6,12,6,12,4,16,4,269,293,13
11,2,6,1982,1,5,25000,17500,4,1,12,14,-4,14,2,16,4,241,432,17
12,1,10,1981,1,5,0,17500,2,1,-3,12,12,12,2,13,1,-4,-4,17
13,1,11,1984,1,5,-4,-4,4,1,-3,6,-4,6,2,10,1,-4,-4,17
14,1,7,1980,1,5,0,17500,1,1,12,12,12,12,2,11,1,-4,-4,17
15,2,1,1983,1,5,-4,-4,1,1,13,12,13,12,2,14,2,269,-4,15
16,1,2,1982,1,5,13000,17500,4,1,10,11,-4,11,2,16,3,258,-4,17
17,2,11,1981,1,5,3750,7500,2,1,-3,14,10,14,2,10,1,-4,-4,8
18,1,2,1982,0,2,0,3750,4,1,10,15,-4,15,1,13,1,-4,-4,17
19,1,4,1984,0,2,0,3750,4,1,10,15,-4,15,1,-3,-3,-3,-4,17
20,1,12,1980,0,2,-3,3750,4,1,10,11,-4,11,1,8,1,-4,-4,17
21,1,8,1982,1,5,0,7500,4,1,11,13,-4,13,2,8,1,-4,-4,17
22,1,6,1982,1,5,-3,7500,4,1,12,11,-4,11,2,13,2,270,-4,17
23,2,1,1983,1,5,-3,7500,4,1,10,10,-4,10,2,15,3,270,-4,17
24,1,6,1984,1,5,-3,7500,2,1,5,7,13,7,2,8,0,-4,-4,17
25,2,3,1983,1,5,0,7500,1,1,12,12,12,12,2,8,1,-4,-4,17
26,1,10,1980,0,2,-3,7500,4,1,-3,12,-4,12,1,11,0,-4,-4,17
27,1,5,1981,0,2,-3,7500,4,1,8,10,-4,10,1,-3,0,-4,-4,17
28,2,11,1983,0,2,13000,7500,2,1,12,12,16,12,1,17,4,258,317,17
29,2,1,1983,0,1,-3,3750,1,1,-3,-3,-3,-3,4,11,0,-4,-4,4
30,1,6,1981,0,1,-3,-3,1,1,-3,-3,-3,-3,4,10,0,-4,-4,2
31,1,7,1982,0,4,-4,-4,1,1,12,12,12,12,4,16,4,246,293,17
32,2,7,1981,0,1,-4,-4,1,1,16,16,16,16,4,18,4,234,281,17
33,2,12,1980,0,1,-3,259500,1,1,16,14,16,14,4,16,4,222,282,17
34,2,12,1984,0,1,9800,17500,1,1,9,16,9,16,4,17,4,270,329,17
35,1,1,1983,0,4,-4,-4,1,1,-3,-3,-3,-3,4,16,4,270,321,17
36,2,8,1980,0,1,40500,66000,1,1,16,15,16,15,4,15,3,222,-4,17
37,2,11,1980,0,1,47500,3000,1,1,11,-3,11,-3,4,17,4,222,293,17
38,2,9,1981,0,1,47500,3000,1,1,11,-3,11,-3,4,16,4,234,290,17
39,1,2,1980,1,1,-3,-3,1,1,-3,-3,-3,-3,2,16,4,222,285,17
40,2,5,1984,0,4,-4,-4,1,1,12,12,12,12,4,13,2,282,-4,8
41,2,1,1983,0,4,-4,-4,1,1,12,12,12,12,4,17,4,253,317,17
42,1,8,1983,0,4,-4,-4,1,1,-3,-3,-3,-3,4,17,4,270,337,14
43,2,10,1981,0,2,-3,7500,4,1,-4,-3,-4,-3,1,13,1,-4,-4,17
44,1,12,1981,1,2,0,41250,1,1,-3,-3,-3,-3,2,13,2,253,-4,17
45,2,2,1984,0,2,-3,500,4,1,-4,8,-4,8,1,13,3,-4,-4,17
46,1,2,1984,0,2,-3,500,4,1,-4,8,-4,8,1,95,1,-4,-4,17
47,2,9,1982,0,2,5500,1750,8,1,-4,11,-4,-4,1,14,2,246,-4,17
48,2,7,1983,0,2,5500,1750,8,1,-4,11,-4,-4,1,16,4,258,325,17
49,2,12,1982,0,2,-3,-3,2,1,-3,12,-3,12,1,12,2,246,-4,17
50,2,2,1983,0,2,-3,3750,4,1,-4,12,-4,12,1,13,1,-4,-4,17
51,1,6,1980,0,2,3750,3750,4,1,-4,12,-4,12,1,14,2,222,-4,17
52,1,12,1983,0,2,3750,3750,4,1,-4,12,-4,12,1,14,2,285,-4,17
53,2,4,1984,0,2,-3,7500,1,1,12,12,12,12,1,12,2,258,-4,17
54,2,12,1984,0,2,-3,-3,8,1,-4,14,-4,-4,1,14,3,-4,-4,17
55,2,2,1981,1,1,-3,3500,1,1,12,10,12,10,2,16,4,234,336,17
56,2,2,1982,0,1,110700,488850,1,1,16,18,16,18,4,18,5,246,296,17
57,1,12,1982,0,2,0,-3,1,1,12,12,12,12,1,12,2,270,-4,17
58,1,11,1983,0,2,25500,-1750,1,1,12,12,12,12,1,14,2,258,-4,17
59,2,4,1981,0,2,22800,73500,9,1,-4,16,-4,-4,1,15,2,234,-4,17
60,1,1,1984,0,5,56600,19500,2,1,-4,14,12,14,4,18,5,294,341,17
61,2,5,1983,0,2,-3,37000,4,1,12,12,-4,12,1,14,3,258,-4,17
62,1,3,1980,0,2,150000,158500,1,1,14,14,14,14,1,17,4,222,269,17
63,2,10,1984,0,2,150000,158500,1,1,14,14,14,14,1,16,4,269,380,17
64,1,3,1980,0,2,40000,-4,1,1,12,15,12,15,1,14,2,234,-4,13
65,1,4,1984,0,2,-3,50751,1,1,-3,95,-3,95,1,14,3,-3,-4,15
66,1,10,1980,0,2,-3,413500,10,1,12,-3,-4,18,1,20,7,234,284,13
67,1,11,1980,0,2,-3,413500,4,1,12,18,-4,18,1,19,6,222,276,17
68,1,1,1981,0,2,-3,413500,10,1,12,-4,-4,18,1,15,2,246,-4,17
69,2,7,1981,0,2,-3,-3,1,1,12,16,12,16,1,18,4,234,281,15
70,1,8,1982,0,2,-3,-3,1,1,12,16,12,16,1,16,4,246,324,17
71,1,1,1980,0,2,26015,18800,8,1,14,14,-4,-4,1,13,2,234,-4,17
72,2,4,1982,0,2,-4,-4,1,1,12,11,12,11,1,16,3,258,-4,17
73,1,10,1984,0,2,-4,-4,1,1,12,11,12,11,1,14,2,270,-4,10
74,1,7,1983,0,1,-3,-3,1,1,-3,-3,-3,-3,4,20,7,265,317,17
75,1,1,1982,0,4,-4,-4,5,1,8,-3,8,-4,4,15,2,246,-4,17
76,1,1,1982,0,4,-4,-4,5,1,8,-3,8,-4,4,14,2,260,-4,17
77,2,11,1984,1,2,35500,3750,1,1,12,12,12,12,2,15,2,270,-4,12
78,2,7,1981,0,1,-3,-3,4,1,-4,-3,-4,-3,4,14,3,246,-4,17
79,1,12,1983,1,1,-3,-3,5,1,14,11,14,-4,2,13,1,-4,-4,17
80,1,6,1981,0,2,30000,-3,4,1,14,12,-4,12,1,11,1,-4,-4,17
81,2,1,1984,0,2,4810,500,4,1,12,12,-4,12,1,11,0,-4,-4,17
82,1,7,1984,1,5,-3,-3,4,1,-4,-3,-4,-3,2,16,4,270,365,17
83,1,9,1981,1,5,-3,3750,4,1,12,6,-4,6,2,12,1,-4,-4,17
84,2,2,1984,1,5,-3,3750,4,1,12,6,-4,6,2,13,2,270,-4,17
85,1,2,1984,0,1,12000,8000,4,1,12,12,-4,12,4,12,2,270,-4,17
86,2,10,1980,0,1,-3,12240,1,1,12,12,12,12,4,18,5,234,338,17
87,1,5,1984,1,1,42500,15750,1,1,14,12,14,12,2,15,2,273,-4,13
88,1,1,1981,0,1,-4,-4,1,1,12,12,12,12,4,12,2,258,-4,16
89,1,11,1981,0,1,-4,-4,1,1,6,6,6,6,4,20,5,234,289,17
90,1,11,1981,1,2,-3,-3,1,1,12,16,12,16,2,16,3,246,-4,17
