"PUBID","YSAQ-007","YSAQ-009","KEY!SEX","KEY!BDATE_M","KEY!BDATE_Y","KEY!ETHNICITY","KEY!RACE","CV_INCOME_GROSS_YR","CV_HH_NET_WORTH_P","CV_YTH_REL_HH_CURRENT","CV_URBAN-RURAL","CV_HGC_BIO_DAD","CV_HGC_BIO_MOM","CV_HGC_RES_DAD","CV_HGC_RES_MOM","FP_YHROUTIN","YPOL-105","YPOL-110","CVC_HIGHEST_DEGREE_EVER"
1,-4,-4,2,9,1981,0,1,-3,-3,1,1,16,8,16,8,-4,2,4,4
2,7,3,1,7,1982,1,5,-4,-4,2,1,17,15,14,15,20,2,4,2
3,7,1,2,9,1983,1,5,63000,10200,4,1,-3,12,-4,12,15,2,1,3
4,-4,-4,2,2,1981,1,5,11700,-1500,4,1,12,12,-4,12,-4,4,4,2
5,0,2,1,10,1982,1,1,-3,-3,1,1,12,12,12,12,12,4,1,2
6,0,7,2,1,1982,1,5,-3,7500,4,1,-3,12,-4,12,18,2,4,2
7,0,0,1,4,1983,1,5,-3,7500,4,1,-3,12,-4,12,12,-5,-5,1
8,-4,-4,2,6,1981,0,1,-3,-3,1,1,6,12,6,12,-4,1,4,5
9,4,2,1,10,1982,0,1,-3,-3,1,1,6,12,6,12,7,4,1,5
10,3,0,1,3,1984,0,1,-3,-3,1,1,6,12,6,12,4,2,4,4
11,2,0,2,6,1982,1,5,25000,17500,4,1,12,14,-4,14,3,4,1,4
12,-4,-4,1,10,1981,1,5,0,17500,2,1,-3,12,12,12,-4,1,4,1
13,7,2,1,11,1984,1,5,-4,-4,4,1,-3,6,-4,6,17,2,4,1
14,-4,-4,1,7,1980,1,5,0,17500,1,1,12,12,12,12,-4,-5,-5,1
15,7,3,2,1,1983,1,5,-4,-4,1,1,13,12,13,12,18,4,1,2
16,1,0,1,2,1982,1,5,13000,17500,4,1,10,11,-4,11,9,1,4,3
17,-4,-4,2,11,1981,1,5,3750,7500,2,1,-3,14,10,14,-4,3,2,1
18,0,0,1,2,1982,0,2,0,3750,4,1,10,15,-4,15,7,4,1,1
19,0,0,1,4,1984,0,2,0,3750,4,1,10,15,-4,15,0,4,1,-3
20,-4,-4,1,12,1980,0,2,-3,3750,4,1,10,11,-4,11,-4,4,1,1
21,2,1,1,8,1982,1,5,0,7500,4,1,11,13,-4,13,6,3,4,1
22,3,0,1,6,1982,1,5,-3,7500,4,1,12,11,-4,11,3,3,1,2
23,2,5,2,1,1983,1,5,-3,7500,4,1,10,10,-4,10,17,3,4,3
24,7,7,1,6,1984,1,5,-3,7500,2,1,5,7,13,7,28,4,1,0
25,0,0,2,3,1983,1,5,0,7500,1,1,12,12,12,12,7,4,1,1
26,-4,-4,1,10,1980,0,2,-3,7500,4,1,-3,12,-4,12,-4,4,1,0
27,-4,-4,1,5,1981,0,2,-3,7500,4,1,8,10,-4,10,-4,2,1,0
28,7,0,2,11,1983,0,2,13000,7500,2,1,12,12,16,12,21,3,1,4
29,3,2,2,1,1983,0,1,-3,3750,1,1,-3,-3,-3,-3,12,-5,-5,0
30,7,-4,1,6,1981,0,1,-3,-3,1,1,-3,-3,-3,-3,7,-5,-5,0
31,6,2,1,7,1982,0,4,-4,-4,1,1,12,12,12,12,15,2,1,4
32,-4,-4,2,7,1981,0,1,-4,-4,1,1,16,16,16,16,-4,3,2,4
33,-4,-4,2,12,1980,0,1,-3,259500,1,1,16,14,16,14,-4,2,4,4
34,0,0,2,12,1984,0,1,9800,17500,1,1,9,16,9,16,7,4,2,4
35,7,-2,1,1,1983,0,4,-4,-4,1,1,-3,-3,-3,-3,14,2,4,4
36,-4,-4,2,8,1980,0,1,40500,66000,1,1,16,15,16,15,-4,2,4,3
37,-4,-4,2,11,1980,0,1,47500,3000,1,1,11,-3,11,-3,-4,3,4,4
38,-4,-4,2,9,1981,0,1,47500,3000,1,1,11,-3,11,-3,-4,4,4,4
39,-4,-4,1,2,1980,1,1,-3,-3,1,1,-3,-3,-3,-3,-4,2,3,4
40,7,7,2,5,1984,0,4,-4,-4,1,1,12,12,12,12,21,4,1,2
41,7,1,2,1,1983,0,4,-4,-4,1,1,12,12,12,12,15,2,1,4
42,7,4,1,8,1983,0,4,-4,-4,1,1,-3,-3,-3,-3,22,3,1,4
43,-4,-4,2,10,1981,0,2,-3,7500,4,1,-4,-3,-4,-3,-4,3,1,1
44,-4,-4,1,12,1981,1,2,0,41250,1,1,-3,-3,-3,-3,-4,3,2,2
45,7,0,2,2,1984,0,2,-3,500,4,1,-4,8,-4,8,14,4,4,3
46,7,0,1,2,1984,0,2,-3,500,4,1,-4,8,-4,8,7,4,1,1
47,7,0,2,9,1982,0,2,5500,1750,8,1,-4,11,-4,-4,15,4,2,2
48,7,3,2,7,1983,0,2,5500,1750,8,1,-4,11,-4,-4,18,3,2,4
49,7,2,2,12,1982,0,2,-3,-3,2,1,-3,12,-3,12,16,4,4,2
50,1,0,2,2,1983,0,2,-3,3750,4,1,-4,12,-4,12,1,3,2,1
51,-4,-4,1,6,1980,0,2,3750,3750,4,1,-4,12,-4,12,-4,1,4,2
52,1,0,1,12,1983,0,2,3750,3750,4,1,-4,12,-4,12,1,1,4,2
53,6,6,2,4,1984,0,2,-3,7500,1,1,12,12,12,12,24,2,4,2
54,1,1,2,12,1984,0,2,-3,-3,8,1,-4,14,-4,-4,7,4,1,3
55,-4,-4,2,2,1981,1,1,-3,3500,1,1,12,10,12,10,-4,2,1,4
56,5,1,2,2,1982,0,1,110700,488850,1,1,16,18,16,18,13,2,4,5
57,7,0,1,12,1982,0,2,0,-3,1,1,12,12,12,12,15,3,3,2
58,0,3,1,11,1983,0,2,25500,-1750,1,1,12,12,12,12,3,2,5,2
59,-4,-4,2,4,1981,0,2,22800,73500,9,1,-4,16,-4,-4,-4,1,4,2
60,7,5,1,1,1984,0,5,56600,19500,2,1,-4,14,12,14,20,2,4,5
61,7,0,2,5,1983,0,2,-3,37000,4,1,12,12,-4,12,15,4,4,3
62,-4,-4,1,3,1980,0,2,150000,158500,1,1,14,14,14,14,-4,1,4,4
63,0,1,2,10,1984,0,2,150000,158500,1,1,14,14,14,14,9,2,4,4
64,-4,-4,1,3,1980,0,2,40000,-4,1,1,12,15,12,15,-4,3,1,2
65,7,3,1,4,1984,0,2,-3,50751,1,1,-3,95,-3,95,23,3,1,3
66,-4,-4,1,10,1980,0,2,-3,413500,10,1,12,-3,-4,18,-4,2,2,7
67,-4,-4,1,11,1980,0,2,-3,413500,4,1,12,18,-4,18,-4,3,1,6
68,-4,-4,1,1,1981,0,2,-3,413500,10,1,12,-4,-4,18,-4,3,2,2
69,-4,-4,2,7,1981,0,2,-3,-3,1,1,12,16,12,16,-4,2,4,4
